0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,label
-0.24942102,0.11991706,-0.2825659,-0.50631386,1.2789109,-0.30961135,-0.09663126,1.3718977,0.5625539,-0.023068681,-0.53001046,-0.10796708,1.5883113,1.2154908,0.47410312,-0.8496592,0.2125689,-0.815743,-0.44677767,-0.23851165,0.08326646,0.23639752,-0.16455013,-0.107602365,-0.15272388,-0.15729623,0.30520272,-0.17086212,-0.19385873,0.05344042,-0.10434135,0.23064157,-0.14526841,-0.15158825,-0.235671,-0.005146781,0.18048517,0.35187808,0.17153268,0.3718371,-0.12645178,-0.11308397,0.26637906,0.66207606,0.05626955,0.23672737,0.016889831,-0.12477791,-0.27852416,0.12831616,-0.19049771,-0.25139537,0.02219211,-0.32410124,-0.13832097,0.2987599,-0.30131721,0.3078239,0.04122838,-0.08626774,0
-1.6381867,1.460487,0.69917655,-1.8162812,1.6388772,0.6002301,0.4751796,-0.6083099,-0.5788929,0.7392808,0.5651246,-0.30519867,0.4741011,-0.34042782,-0.19054395,0.5793017,-0.30615988,-0.21427155,-0.62366295,-0.05158533,-0.09321467,0.34616303,-0.5984847,-0.31751186,0.36633053,-0.10641354,0.05992549,-0.24271889,0.44512004,-0.10227369,0.14925669,-0.035550848,0.1892942,0.016225534,-0.06151305,0.21343972,0.32305494,0.21637157,-0.37753475,-0.35322043,-0.015293025,-0.04370212,-0.16522358,0.23363997,-0.26829335,-0.054729614,-0.051730335,-0.012882166,-0.061020005,-0.38142365,-0.074514754,-0.11850208,0.04277124,-0.14548814,-0.17758086,-0.17848831,-0.058575206,-0.108199306,0.051167283,-0.060915716,1
2.7524498,0.6596229,-0.7935422,-1.0438156,1.2292243,0.18240535,0.4010399,-0.89640546,0.113461755,0.7540428,1.7088563,0.93930167,0.36511672,0.15201738,-1.1157194,0.1614192,-0.12382776,0.42357424,-1.0642902,0.02639666,0.1730685,0.24542286,0.45539713,0.07112501,0.36448422,-0.3407193,-0.60071915,-0.12779233,-0.3247235,0.0681582,-0.046761215,-0.17312619,-0.25200993,0.8480483,-0.42761365,0.24114676,0.0692204,-0.23981035,0.030618256,0.46768418,-0.17804672,-0.20871857,-0.14892003,-0.26717702,0.33113688,-0.14654596,0.35126287,0.01281281,-0.26428157,-0.36972424,-0.17167793,0.009328052,0.004100652,0.45510912,-0.021394512,-0.2966371,-0.42906746,0.007634113,-0.14811589,0.09265954,1
-0.88931054,5.942641,-4.437332,0.4874272,-1.3079045,0.20336317,-0.54346454,0.6984205,0.42685264,-0.4904449,-0.3888387,-0.46297038,0.32087326,-0.4806531,-0.492264,0.15540566,0.23247896,-0.03342509,-0.12898716,0.0048540384,-0.12366002,-0.13785979,0.00401833,0.007951629,-0.1570932,0.041892957,-0.07039449,0.14858167,0.15791242,0.06583545,0.15245524,-0.119671665,-0.03610511,-0.14993072,-0.1840421,-0.029465592,0.1518594,0.085168086,-0.0831081,-0.09044522,0.09752299,0.007386125,-0.090674214,0.33452356,0.035933584,0.1738724,0.22392291,-0.06414993,-0.040814627,0.13529123,-0.37997872,-0.05090488,0.098095864,0.20993744,0.0065522776,0.0018134749,-0.15022488,-0.24369311,-0.019231752,0.14887945,1
-0.8688267,-0.6883352,0.13773577,-0.25132433,-0.60016,-1.2432225,-0.014547679,-0.054001942,-0.5749951,-0.106368,-0.027952053,0.081218824,0.16958413,-0.2603203,-0.46893218,-0.15653099,0.016823731,-0.19641636,-0.115759164,0.034955233,0.66073763,-0.1612848,0.043522242,-0.13124435,-0.3301038,0.048918344,0.03579768,0.19686565,-0.0093621705,-0.14852934,-0.17955202,-0.20964867,0.17740643,-0.14790978,-0.23263136,-0.19306977,-0.15347698,-0.00078546326,0.09259177,0.014407107,0.16442837,0.1954837,0.08011714,0.029620748,0.08003738,0.17642942,0.012347963,0.13359158,-0.039890654,0.24195409,0.015080309,-0.22110526,0.06797669,0.013627182,0.19349764,-0.32992566,0.05674776,0.062650114,0.02105929,-0.06523884,0
-1.8695103,-0.6939598,-0.21758829,0.8666308,0.044111893,-0.71544737,-0.47540852,-0.22780895,-0.33106995,-0.23688842,0.077913,-0.56104255,0.4874773,-0.010495205,-0.25446945,-0.34541592,0.30879486,0.2047303,-0.19213815,-0.18886524,-0.031245893,-0.1665379,-0.013937367,0.090520054,-0.038977344,0.13089202,-0.27154663,-0.06183985,0.09880215,0.006138347,-0.20598269,0.36743948,-0.73212636,-0.120177016,0.2617566,0.16560182,-0.2432714,0.06561625,0.13305637,-0.402736,0.35241407,-0.13655859,-0.11973412,-0.34410498,0.06491902,-0.40607587,0.3616335,-0.15221873,-0.6541511,0.11463858,0.3886629,0.45861268,0.3005601,-0.17592669,0.19827063,-0.120262995,0.13367777,0.03289155,-0.47170064,-0.09411489,0
2.357431,-0.53891575,0.37758708,-1.017807,-1.5574498,-0.71159184,0.033998862,-0.08412157,-0.13439442,0.12402241,0.021096818,0.2769019,-0.2917453,-0.28294912,0.14050812,-0.06053355,0.0636099,-0.11006524,-0.48586258,-0.35687116,-0.20321216,-0.26020333,-0.38615924,-0.36832517,-0.21766824,0.12965481,-0.12714961,0.1939534,-0.22226809,0.24229108,0.13396731,-0.039593503,-0.33555904,-0.13622494,-0.018295705,-0.062035218,0.24532063,0.056708384,-0.0086888345,-0.0659083,0.24786629,-0.11714068,0.014190581,-0.1384292,-0.21013096,0.27009937,-0.081881054,-0.33059463,0.03815436,-0.14105074,0.011793008,0.08419548,-0.007818705,0.079219826,0.2623102,0.31997615,0.29969737,-0.032979634,-0.08958143,0.14600901,1
-1.1042343,1.1127982,1.0610557,-1.7893673,-0.4945816,0.105464876,0.54114056,0.6202585,1.3863887,-0.25971612,0.2616767,-0.33123016,0.35399824,-0.19940093,1.0698298,-0.40796334,0.5932801,0.37183088,0.18309797,0.00020834205,0.032274626,0.22636102,0.25577855,-0.63997316,0.47995976,-0.39074388,0.1364502,-0.047795482,0.19305614,-0.262981,-0.25094217,-0.022350062,0.39550707,-0.0069999793,0.0042076097,0.11456487,0.062384915,-0.69712347,0.41494817,-0.17579639,0.1228536,-0.058600847,-0.36969376,-0.05375916,0.222687,-0.38333327,-0.004479018,-0.36185536,0.18023342,0.014135601,0.0941707,-0.40006784,0.3395373,0.056020528,-0.31743065,-0.2382468,0.24558406,-0.009219291,-0.076383054,0.003417883,1
-1.5192361,1.1309723,1.2279443,-2.0416622,-0.5313137,0.24775778,0.6765856,0.66440773,1.2121147,-0.4955636,0.40631852,-0.34563532,0.4474269,-0.15721153,1.0627288,-0.40103027,0.6592445,0.38700742,0.19306889,0.044704713,-0.04440061,0.20828368,0.30032086,-0.6022723,0.45820415,-0.46604842,0.21716851,-0.038951784,0.17630471,-0.18208371,-0.27081278,0.06758148,0.48610234,0.009288465,0.03280168,0.036946774,0.07857702,-0.8324214,0.44455186,-0.14949109,0.108039714,-0.042461846,-0.36162513,-0.10617733,0.25280777,-0.4679961,-0.017827928,-0.42098033,0.19415191,0.03415313,0.16502555,-0.43537235,0.33130088,0.008097415,-0.28000623,-0.20083593,0.22872962,-0.046511386,-0.14399485,0.011545403,1
2.3964417,0.83615243,-0.36740762,-0.96855485,1.8294238,-0.025590122,-0.014444172,-1.0619262,0.046929065,-1.2945268,-0.7320961,-0.37985095,-0.2915386,-0.3890619,-0.27757812,0.21662852,0.60153866,-0.23849116,0.046662197,0.3171884,-0.6423227,0.5364615,-0.5954316,0.4112562,0.37947822,0.3904688,-0.06929637,0.10254137,-0.29866755,0.053183842,-0.22178666,-0.18145883,0.15011925,-0.23786548,-0.18902491,-0.40698186,-0.19040363,-0.32819584,-0.1430688,0.38924253,0.23471142,-0.084954314,-0.082171224,0.2353936,-0.11953409,0.06467788,-0.15176664,-0.25318518,-0.10011216,0.27695712,-0.016053487,-0.04354507,0.32092983,-0.30017036,0.1791083,-0.29613218,0.011594644,0.21561293,0.22139236,0.22172247,1
